,Country,CO2_Percent_Change,Forest_Area_Percent_Change,Predicted_Avg_Temp
456,Netherlands,1,0.5,12.232857
457,Netherlands,1,0.25,11.937647
458,Netherlands,1,0,11.656166
459,Netherlands,1,0.25,11.937647
460,Netherlands,1,-0.5,11.151041
461,Netherlands,1,-1,10.694204
462,Netherlands,0,1,13.257498
463,Netherlands,0,0.5,12.647722
464,Netherlands,0,0.25,12.367565
465,Netherlands,0,0,10.046111111111111
466,Netherlands,0,0.25,12.367565
467,Netherlands,0,-0.5,11.656834
468,Netherlands,0,-1,11.246443
469,Netherlands,-1,1,13.657287
470,Netherlands,-1,0.5,13.092854
471,Netherlands,-1,0.25,12.849455
472,Netherlands,-1,0,12.62075
473,Netherlands,-1,0.25,12.849455
474,Netherlands,-1,-0.5,12.20311
475,Netherlands,-1,-1,11.811573
476,Netherlands,-2,1,14.097828
477,Netherlands,-2,0.5,13.597199
478,Netherlands,-2,0.25,13.372323
479,Netherlands,-2,0,13.165653
480,Netherlands,-2,0.25,13.372323
481,Netherlands,-2,-0.5,12.765045
482,Netherlands,-2,-1,12.399616
483,Netherlands,-5,1,15.671932
484,Netherlands,-5,0.5,15.253369
485,Netherlands,-5,0.25,15.055207
486,Netherlands,-5,0,14.876141
487,Netherlands,-5,0.25,15.055207
488,Netherlands,-5,-0.5,14.541038
489,Netherlands,-5,-1,14.229761
490,Zimbabwe,5,1,19.721325
491,Zimbabwe,5,0.5,21.299171
492,Zimbabwe,5,0.25,22.214249
493,Zimbabwe,5,0,23.189358
494,Zimbabwe,5,0.25,22.214249
495,Zimbabwe,5,-0.5,25.17767
496,Zimbabwe,5,-1,27.184578
497,Zimbabwe,2,1,20.205679
498,Zimbabwe,2,0.5,21.72456
499,Zimbabwe,2,0.25,22.61802
500,Zimbabwe,2,0,23.545109
501,Zimbabwe,2,0.25,22.61802
502,Zimbabwe,2,-0.5,25.541529
503,Zimbabwe,2,-1,27.551388
504,Zimbabwe,1,1,20.371338
505,Zimbabwe,1,0.5,21.880226
506,Zimbabwe,1,0.25,22.754705
507,Zimbabwe,1,0,23.675499
508,Zimbabwe,1,0.25,22.754705
509,Zimbabwe,1,-0.5,25.6638
510,Zimbabwe,1,-1,27.673658
511,Zimbabwe,0,1,20.541546
512,Zimbabwe,0,0.5,22.040089
513,Zimbabwe,0,0.25,22.895412
514,Zimbabwe,0,0,20.21827380952381
515,Zimbabwe,0,0.25,22.895412
516,Zimbabwe,0,-0.5,25.78956
517,Zimbabwe,0,-1,27.799068
518,Zimbabwe,-1,1,20.711962
519,Zimbabwe,-1,0.5,22.20692
520,Zimbabwe,-1,0.25,23.04516
521,Zimbabwe,-1,0,23.95914
522,Zimbabwe,-1,0.25,23.04516
523,Zimbabwe,-1,-0.5,25.916586
524,Zimbabwe,-1,-1,27.926092
525,Zimbabwe,-2,1,20.883862
526,Zimbabwe,-2,0.5,22.375713
527,Zimbabwe,-2,0.25,23.202957
528,Zimbabwe,-2,0,24.101421
529,Zimbabwe,-2,0.25,23.202957
530,Zimbabwe,-2,-0.5,26.04361
531,Zimbabwe,-2,-1,28.053116
532,Zimbabwe,-5,1,21.425617
533,Zimbabwe,-5,0.5,22.90439
534,Zimbabwe,-5,0.25,23.701712
535,Zimbabwe,-5,0,24.548836
536,Zimbabwe,-5,0.25,23.701712
537,Zimbabwe,-5,-0.5,26.428839
538,Zimbabwe,-5,-1,28.43419
539,Greece,5,1,18.716139
540,Greece,5,0.5,18.078756
541,Greece,5,0.25,17.76998
542,Greece,5,0,17.472776
543,Greece,5,0.25,17.76998
544,Greece,5,-0.5,16.910513
545,Greece,5,-1,16.363848
546,Greece,2,1,19.152102
547,Greece,2,0.5,18.60908
548,Greece,2,0.25,18.340115
549,Greece,2,0,18.08533
550,Greece,2,0.25,18.340115
551,Greece,2,-0.5,17.61228
552,Greece,2,-1,17.168169
553,Greece,1,1,19.369867
554,Greece,1,0.5,18.83981
555,Greece,1,0.25,18.59429
556,Greece,1,0,18.364557
557,Greece,1,0.25,18.59429
558,Greece,1,-0.5,17.916946
559,Greece,1,-1,17.484818
560,Greece,0,1,19.601782
561,Greece,0,0.5,19.121546
562,Greece,0,0.25,18.896202
563,Greece,0,0,17.705369047619048
564,Greece,0,0.25,18.896202
565,Greece,0,-0.5,18.24346
566,Greece,0,-1,17.88228
567,Greece,-1,1,19.886206
568,Greece,-1,0.5,19.428118
569,Greece,-1,0.25,19.21227
570,Greece,-1,0,19.009317
571,Greece,-1,0.25,19.21227
572,Greece,-1,-0.5,18.659496
573,Greece,-1,-1,18.342379
574,Greece,-2,1,20.195948
575,Greece,-2,0.5,19.79228
576,Greece,-2,0.25,19.609406
577,Greece,-2,0,19.437588
578,Greece,-2,0.25,19.609406
579,Greece,-2,-0.5,19.102922
580,Greece,-2,-1,18.820402
581,Greece,-5,1,21.436214
582,Greece,-5,0.5,21.113352
583,Greece,-5,0.25,20.976648
584,Greece,-5,0,20.849134
585,Greece,-5,0.25,20.976648
586,Greece,-5,-0.5,20.597982
587,Greece,-5,-1,20.386671
588,Denmark,5,1,12.601894
589,Denmark,5,0.5,11.7784195
590,Denmark,5,0.25,11.37093
591,Denmark,5,0,10.991659
592,Denmark,5,0.25,11.37093
593,Denmark,5,-0.5,10.316933
594,Denmark,5,-1,9.707705
595,Denmark,2,1,12.370809
596,Denmark,2,0.5,11.558814
597,Denmark,2,0.25,11.18245
598,Denmark,2,0,10.842981
599,Denmark,2,0.25,11.18245
600,Denmark,2,-0.5,10.209768
601,Denmark,2,-1,9.685556
602,Denmark,1,1,12.292464
603,Denmark,1,0.5,11.493813
604,Denmark,1,0.25,11.130032
605,Denmark,1,0,10.799502
606,Denmark,1,0.25,11.130032
607,Denmark,1,-0.5,10.19577
608,Denmark,1,-1,9.695902
609,Denmark,0,1,12.219803
610,Denmark,0,0.5,11.437211
611,Denmark,0,0.25,11.084267
612,Denmark,0,0,8.550791666666667
613,Denmark,0,0.25,11.084267
614,Denmark,0,-0.5,10.184172
615,Denmark,0,-1,9.717013
616,Denmark,-1,1,12.147142
617,Denmark,-1,0.5,11.382131
618,Denmark,-1,0.25,11.040787
619,Denmark,-1,0,10.720159
620,Denmark,-1,0.25,11.040787
621,Denmark,-1,-0.5,10.176198
622,Denmark,-1,-1,9.751918
623,Denmark,-2,1,12.076471
624,Denmark,-2,0.5,11.331253
625,Denmark,-2,0.25,10.99741
626,Denmark,-2,0,10.698341
627,Denmark,-2,0.25,10.99741
628,Denmark,-2,-0.5,10.173843
629,Denmark,-2,-1,9.790334
630,Denmark,-5,1,11.899132
631,Denmark,-5,0.5,11.213471
632,Denmark,-5,0.25,10.92976
633,Denmark,-5,0,10.665656
634,Denmark,-5,0.25,10.92976
635,Denmark,-5,-0.5,10.2425165
636,Denmark,-5,-1,9.9338
637,Malaysia,5,1,32.608868
638,Malaysia,5,0.5,33.908676
639,Malaysia,5,0.25,34.612755
640,Malaysia,5,0,35.336803
641,Malaysia,5,0.25,34.612755
642,Malaysia,5,-0.5,36.83336
643,Malaysia,5,-1,38.501034
644,Malaysia,2,1,30.977472
645,Malaysia,2,0.5,32.275608
646,Malaysia,2,0.25,32.987156
647,Malaysia,2,0,33.723682
648,Malaysia,2,0.25,32.987156
649,Malaysia,2,-0.5,35.255947
650,Malaysia,2,-1,37.01506
651,Malaysia,1,1,30.444244
652,Malaysia,1,0.5,31.747261
653,Malaysia,1,0.25,32.45656
654,Malaysia,1,0,33.196644
655,Malaysia,1,0.25,32.45656
656,Malaysia,1,-0.5,34.77314
657,Malaysia,1,-1,36.55921
658,Malaysia,0,1,29.928549
659,Malaysia,0,0.5,31.231333
660,Malaysia,0,0.25,31.93879
661,Malaysia,0,0,27.2347109375
662,Malaysia,0,0.25,31.93879
663,Malaysia,0,-0.5,34.313442
664,Malaysia,0,-1,36.11568
665,Malaysia,-1,1,29.425882
666,Malaysia,-1,0.5,30.721832
667,Malaysia,-1,0.25,31.425177
668,Malaysia,-1,0,32.186802
669,Malaysia,-1,0.25,31.425177
670,Malaysia,-1,-0.5,33.868195
671,Malaysia,-1,-1,35.680115
672,Malaysia,-2,1,28.926495
673,Malaysia,-2,0.5,30.212992
674,Malaysia,-2,0.25,30.928907
675,Malaysia,-2,0,31.720823
676,Malaysia,-2,0.25,30.928907
677,Malaysia,-2,-0.5,33.432
678,Malaysia,-2,-1,35.261585
679,Malaysia,-5,1,27.456167
680,Malaysia,-5,0.5,28.85438
681,Malaysia,-5,0.25,29.599493
682,Malaysia,-5,0,30.402391
683,Malaysia,-5,0.25,29.599493
684,Malaysia,-5,-0.5,32.183964
685,Malaysia,-5,-1,34.019016
686,Burundi,5,1,25.51184
687,Burundi,5,0.5,25.530342
688,Burundi,5,0.25,25.539593
689,Burundi,5,0,25.548843
690,Burundi,5,0.25,25.539593
691,Burundi,5,-0.5,25.567345
692,Burundi,5,-1,25.586948
693,Burundi,2,1,23.713726
694,Burundi,2,0.5,23.726711
695,Burundi,2,0.25,23.733204
696,Burundi,2,0,23.739697
697,Burundi,2,0.25,23.733204
698,Burundi,2,-0.5,23.757988
699,Burundi,2,-1,23.77649
700,Burundi,1,1,23.116665
701,Burundi,1,0.5,23.12965
702,Burundi,1,0.25,23.136143
703,Burundi,1,0,23.142635
704,Burundi,1,0.25,23.136143
705,Burundi,1,-0.5,23.155619
706,Burundi,1,-1,23.17337
707,Burundi,0,1,22.519604
708,Burundi,0,0.5,22.532589
709,Burundi,0,0.25,22.539082
710,Burundi,0,0,21.443083333333334
711,Burundi,0,0.25,22.539082
712,Burundi,0,-0.5,22.558558
713,Burundi,0,-1,22.57154
714,Burundi,-1,1,21.922543
715,Burundi,-1,0.5,21.935528
716,Burundi,-1,0.25,21.942017
717,Burundi,-1,0,21.94851
718,Burundi,-1,0.25,21.942017
719,Burundi,-1,-0.5,21.961494
720,Burundi,-1,-1,21.97448
721,Burundi,-2,1,21.330505
722,Burundi,-2,0.5,21.338463
723,Burundi,-2,0.25,21.344957
724,Burundi,-2,0,21.351448
725,Burundi,-2,0.25,21.344957
726,Burundi,-2,-0.5,21.364433
727,Burundi,-2,-1,21.377419
728,Burundi,-5,1,19.600056
729,Burundi,-5,0.5,19.591404
730,Burundi,-5,0.25,19.58958
731,Burundi,-5,0,19.587757
732,Burundi,-5,0.25,19.58958
733,Burundi,-5,-0.5,19.586302
734,Burundi,-5,-1,19.591335
735,Turkey,5,1,18.757738
736,Turkey,5,0.5,18.15167
737,Turkey,5,0.25,17.860554
738,Turkey,5,0,17.578804
739,Turkey,5,0.25,17.860554
740,Turkey,5,-0.5,17.076128
741,Turkey,5,-1,16.634043
742,Turkey,2,1,18.183676
743,Turkey,2,0.5,17.521463
744,Turkey,2,0.25,17.223951
745,Turkey,2,0,16.933027
746,Turkey,2,0.25,17.223951
747,Turkey,2,-0.5,16.383219
748,Turkey,2,-1,15.874239
749,Turkey,1,1,18.006811
750,Turkey,1,0.5,17.333677
751,Turkey,1,0.25,17.011425
752,Turkey,1,0,16.720892
753,Turkey,1,0.25,17.011425
754,Turkey,1,-0.5,16.161974
755,Turkey,1,-1,15.638786
756,Turkey,0,1,17.829948
757,Turkey,0,0.5,17.15677
